Error: PDF version C.7 -- xpdf supports version 1.7 (continuing anyway)
Error: PDF file is damaged - attempting to reconstruct xref table...
Error (911): Dictionary key must be a name object
Error (919): Dictionary key must be a name object
Error (946): Dictionary key must be a name object
Error (946): Dictionary key must be a name object
Error (68): Dictionary key must be a name object
Error (70): Dictionary key must be a name object
Error (74): Dictionary key must be a name object
Error (77): Dictionary key must be a name object
Error (78): Dictionary key must be a name object
Error (85): Dictionary key must be a name object
Error (117): Dictionary key must be a name object
Error (120): Dictionary key must be a name object
Error (130): Dictionary key must be a name object
Error (133): Dictionary key must be a name object
Error (135): Dictionary key must be a name object
Error (137): Dictionary key must be a name object
Error (139): Dictionary key must be a name object
Error (156): Dictionary key must be a name object
Error (180): Dictionary key must be a name object
Error (186): Dictionary key must be a name object
Error (187): Illegal character ')'
Error (187): Dictionary key must be a name object
Error (190): Dictionary key must be a name object
Error (193): Dictionary key must be a name object
Error (204): Dictionary key must be a name object
Error (219): Illegal character '>'
Error (221): Dictionary key must be a name object
Error (224): Dictionary key must be a name object
Error (232): Dictionary key must be a name object
Error (399): Dictionary key must be a name object
Error (426): Dictionary key must be a name object
Error (436): Illegal digit in hex char in name
Error (463): Dictionary key must be a name object
Error (616): Dictionary key must be a name object
Error (630): Dictionary key must be a name object
Error (634): Dictionary key must be a name object
Error (637): Dictionary key must be a name object
Error (647): Dictionary key must be a name object
Error (660): Dictionary key must be a name object
Error (664): Dictionary key must be a name object
Error (683): Dictionary key must be a name object
Error (687): Dictionary key must be a name object
Error (706): Dictionary key must be a name object
Error (733): Dictionary key must be a name object
Error (743): Illegal digit in hex char in name
Error (768): Dictionary key must be a name object
Error (788): Dictionary key must be a name object
Error (795): Dictionary key must be a name object
Error (804): Dictionary key must be a name object
Error (810): Illegal character ')'
Error (810): Dictionary key must be a name object
Error (818): Dictionary key must be a name object
Error (824): Dictionary key must be a name object
Error (832): Dictionary key must be a name object
Error (844): Dictionary key must be a name object
Error (846): Dictionary key must be a name object
Error (858): Dictionary key must be a name object
Error (864): Dictionary key must be a name object
Error (866): Dictionary key must be a name object
Error (875): Dictionary key must be a name object
Error (878): Dictionary key must be a name object
Error (886): Dictionary key must be a name object
Error (911): Dictionary key must be a name object
Error (919): Dictionary key must be a name object
Error (946): Dictionary key must be a name object
Error (1018): Illegal character '>'
Error (1081): Illegal digit in hex char in name
Error (1097): Illegal digit in hex char in name
Error (1108): Illegal digit in hex char in name
Error (1164): Dictionary key must be a name object
Error (1191): Dictionary key must be a name object
Error (1201): Illegal digit in hex char in name
Error (1228): Dictionary key must be a name object
Error (1292): Dictionary key must be a name object
Error (1381): Dictionary key must be a name object
Error (1397): Dictionary key must be a name object
Error (1405): Dictionary key must be a name object
Error (85): Dictionary key must be a name object
Error (117): Dictionary key must be a name object
Error (120): Dictionary key must be a name object
Error (130): Dictionary key must be a name object
Error (133): Dictionary key must be a name object
Error (135): Dictionary key must be a name object
Error (137): Dictionary key must be a name object
Error (139): Dictionary key must be a name object
Error (156): Dictionary key must be a name object
Error (180): Dictionary key must be a name object
